Wavelength (A)	Intensity [J/eV/sr/cm^2]
 5.99795E+00	 1.31582E-04
 5.99818E+00	 1.05785E-04
 5.99840E+00	 7.89916E-05
 5.99863E+00	 5.28103E-05
 5.99886E+00	 5.41270E-05
 5.99909E+00	 5.77766E-05
 5.99932E+00	 6.16957E-05
 5.99955E+00	 6.81711E-05
 5.99978E+00	 7.59149E-05
 6.00001E+00	 7.44167E-05
 6.00024E+00	 6.65085E-05
 6.00047E+00	 5.86798E-05
 6.00070E+00	 5.32534E-05
 6.00093E+00	 4.51221E-05
 6.00116E+00	 4.05314E-05
 6.00139E+00	 4.59934E-05
 6.00162E+00	 5.10367E-05
 6.00185E+00	 6.23913E-05
 6.00208E+00	 8.09514E-05
 6.00231E+00	 9.93106E-05
 6.00254E+00	 9.48305E-05
 6.00277E+00	 8.81384E-05
 6.00300E+00	 8.02122E-05
 6.00323E+00	 6.85971E-05
 6.00346E+00	 5.70801E-05
 6.00369E+00	 5.87374E-05
 6.00392E+00	 6.96476E-05
 6.00415E+00	 8.05465E-05
 6.00438E+00	 9.00077E-05
 6.00461E+00	 9.93803E-05
 6.00484E+00	 1.07485E-04
 6.00507E+00	 1.12041E-04
 6.00530E+00	 1.16677E-04
 6.00553E+00	 1.25591E-04
 6.00576E+00	 1.38712E-04
 6.00599E+00	 1.51164E-04
 6.00622E+00	 1.42255E-04
 6.00645E+00	 1.32373E-04
 6.00668E+00	 1.25592E-04
 6.00691E+00	 1.19782E-04
 6.00714E+00	 1.13969E-04
 6.00737E+00	 1.10587E-04
 6.00760E+00	 1.08393E-04
 6.00783E+00	 1.03485E-04
 6.00806E+00	 9.68670E-05
 6.00829E+00	 9.03995E-05
 6.00852E+00	 9.14983E-05
 6.00875E+00	 9.99093E-05
 6.00898E+00	 1.08642E-04
 6.00920E+00	 1.21467E-04
 6.00943E+00	 1.35796E-04
 6.00966E+00	 1.45934E-04
 6.00989E+00	 1.60142E-04
 6.01012E+00	 1.74402E-04
 6.01035E+00	 1.79501E-04
 6.01058E+00	 1.65427E-04
 6.01081E+00	 1.50050E-04
 6.01104E+00	 1.45947E-04
 6.01127E+00	 1.48582E-04
 6.01150E+00	 1.53273E-04
 6.01173E+00	 1.84499E-04
 6.01196E+00	 2.16475E-04
 6.01219E+00	 2.29918E-04
 6.01242E+00	 2.02995E-04
 6.01265E+00	 1.77458E-04
 6.01288E+00	 1.54736E-04
 6.01311E+00	 1.32404E-04
 6.01334E+00	 1.04322E-04
 6.01357E+00	 1.18169E-04
 6.01380E+00	 1.34979E-04
 6.01403E+00	 1.51384E-04
 6.01426E+00	 1.61513E-04
 6.01449E+00	 1.70418E-04
 6.01472E+00	 1.81657E-04
 6.01495E+00	 1.94176E-04
 6.01518E+00	 2.05338E-04
 6.01541E+00	 1.78887E-04
 6.01564E+00	 1.52483E-04
 6.01587E+00	 1.32427E-04
 6.01610E+00	 1.22812E-04
 6.01633E+00	 1.14747E-04
 6.01656E+00	 1.20586E-04
 6.01679E+00	 1.30495E-04
 6.01702E+00	 1.36839E-04
 6.01725E+00	 1.07470E-04
 6.01748E+00	 7.93190E-05
 6.01771E+00	 7.56834E-05
 6.01794E+00	 1.08784E-04
 6.01817E+00	 1.42346E-04
 6.01840E+00	 1.51533E-04
 6.01863E+00	 1.51376E-04
 6.01886E+00	 1.49259E-04
 6.01909E+00	 1.27583E-04
 6.01932E+00	 1.05754E-04
 6.01955E+00	 9.14743E-05
 6.01978E+00	 8.79310E-05
 6.02001E+00	 8.48017E-05
 6.02024E+00	 1.06566E-04
 6.02046E+00	 1.35781E-04
 6.02069E+00	 1.62769E-04
 6.02092E+00	 1.70380E-04
 6.02115E+00	 1.77593E-04
 6.02138E+00	 1.86729E-04
 6.02161E+00	 1.97501E-04
 6.02184E+00	 2.08027E-04
 6.02207E+00	 2.03332E-04
 6.02230E+00	 1.95174E-04
 6.02253E+00	 1.86179E-04
 6.02276E+00	 1.74074E-04
 6.02299E+00	 1.63332E-04
 6.02322E+00	 1.63914E-04
 6.02345E+00	 1.71466E-04
 6.02368E+00	 1.78906E-04
 6.02391E+00	 1.78807E-04
 6.02414E+00	 1.78069E-04
 6.02437E+00	 1.76726E-04
 6.02460E+00	 1.78015E-04
 6.02483E+00	 1.79556E-04
 6.02506E+00	 1.66273E-04
 6.02529E+00	 1.35718E-04
 6.02552E+00	 1.05424E-04
 6.02575E+00	 1.04064E-04
 6.02598E+00	 1.09130E-04
